similarity,combination
9,['StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
4,['StandardTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
8,['StandardTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
11,['StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
10,['StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
13,['StandardTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
4,['StandardTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
1,['StandardTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['StandardTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
8,['StandardTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
2,['StandardTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
2,['StandardTokenMock.sol', 'ERC223.sol', 'Token223.sol']
3,['StandardTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
2,['StandardTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
5,['StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
3,['StandardTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
2,['StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
7,['StandardTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['StandardTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
5,['StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
6,['StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
3,['StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['StandardTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
6,['StandardTokenMock.sol', 'ERC20.sol', 'Token223.sol']
8,['StandardToken.sol', 'ERC223.sol', 'LinkToken.sol']
4,['StandardToken.sol', 'ERC223.sol', 'ERC223Receiver.sol']
3,['StandardToken.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
8,['StandardToken.sol', 'ERC223.sol', 'BasicToken.sol']
9,['StandardToken.sol', 'ERC223.sol', 'ERC20.sol']
12,['StandardToken.sol', 'ERC223.sol', 'Token223.sol']
8,['StandardToken.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
9,['StandardToken.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
13,['StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
9,['StandardToken.sol', 'LinkToken.sol', 'Token223.sol']
3,['StandardToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
7,['StandardToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
8,['StandardToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
13,['StandardToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
13,['StandardToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
6,['StandardToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
9,['StandardToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
15,['StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
19,['StandardToken.sol', 'BasicToken.sol', 'Token223.sol']
19,['StandardToken.sol', 'ERC20.sol', 'Token223.sol']
5,['ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
5,['ERC223.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
8,['ERC223.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['ERC223.sol', 'LinkToken.sol', 'ERC20.sol']
4,['ERC223.sol', 'LinkToken.sol', 'Token223.sol']
2,['ERC223.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['ERC223.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['ERC223.sol', 'ERC223Receiver.sol', 'ERC20.sol']
