similarity,combination
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
