similarity,combination
29,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'LinkToken.sol', 'flattened.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkStandardToken.sol', 'Token677.sol']
27,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkStandardToken.sol', 'flattened.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'NotERC677Compatible.sol', 'Token677.sol']
42,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'NotERC677Compatible.sol', 'flattened.sol']
38,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'Token677.sol', 'flattened.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Token677.sol']
43,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'flattened.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Migrations.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
