similarity,combination
5,['ERC677Token.sol', 'linkERC20.sol', 'NotERC677Compatible.sol', 'Token677.sol']
49,['ERC677Token.sol', 'linkERC20.sol', 'NotERC677Compatible.sol', 'flattened.sol']
46,['ERC677Token.sol', 'linkERC20.sol', 'Token677.sol', 'flattened.sol']
5,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
14,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
3,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
1,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
7,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
16,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Token677.sol']
49,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'flattened.sol']
17,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
4,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
1,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
9,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
20,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677.sol']
53,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'flattened.sol']
10,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
9,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
18,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
14,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
16,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
39,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
1,['ERC677Token.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
12,['ERC677Token.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
1,['ERC677Token.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
4,['ERC677Token.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'Token677.sol']
43,['ERC677Token.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'flattened.sol']
2,['ERC677Token.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
23,['ERC677Token.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
