similarity,combination
1,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'ERC223.sol']
1,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol']
2,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
2,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
1,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'ERC223Basic.sol']
3,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['ERC223BasicToken.sol', 'BasicTokenMock.sol', 'Token223.sol']
4,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'ERC223.sol']
1,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
2,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
2,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'ERC223Basic.sol']
3,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['ERC223BasicToken.sol', 'StandardTokenMock.sol', 'Token223.sol']
5,['ERC223BasicToken.sol', 'StandardToken.sol', 'ERC223.sol']
5,['ERC223BasicToken.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
7,['ERC223BasicToken.sol', 'StandardToken.sol', 'LinkToken.sol']
6,['ERC223BasicToken.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
6,['ERC223BasicToken.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
11,['ERC223BasicToken.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['ERC223BasicToken.sol', 'StandardToken.sol', 'ERC223Basic.sol']
11,['ERC223BasicToken.sol', 'StandardToken.sol', 'ERC20.sol']
8,['ERC223BasicToken.sol', 'StandardToken.sol', 'Token223.sol']
1,['ERC223BasicToken.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
3,['ERC223BasicToken.sol', 'ERC223.sol', 'LinkToken.sol']
1,['ERC223BasicToken.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['ERC223BasicToken.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
2,['ERC223BasicToken.sol', 'ERC223.sol', 'BasicToken.sol']
1,['ERC223BasicToken.sol', 'ERC223.sol', 'ERC223Basic.sol']
3,['ERC223BasicToken.sol', 'ERC223.sol', 'ERC20.sol']
4,['ERC223BasicToken.sol', 'ERC223.sol', 'Token223.sol']
2,['ERC223BasicToken.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
1,['ERC223BasicToken.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
1,['ERC223BasicToken.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
2,['ERC223BasicToken.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
1,['ERC223BasicToken.sol', 'NotERC223Compatible.sol', 'ERC223Basic.sol']
3,['ERC223BasicToken.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
5,['ERC223BasicToken.sol', 'NotERC223Compatible.sol', 'Token223.sol']
2,['ERC223BasicToken.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
2,['ERC223BasicToken.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['ERC223BasicToken.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['ERC223BasicToken.sol', 'LinkToken.sol', 'ERC223Basic.sol']
3,['ERC223BasicToken.sol', 'LinkToken.sol', 'ERC20.sol']
4,['ERC223BasicToken.sol', 'LinkToken.sol', 'Token223.sol']
2,['ERC223BasicToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['ERC223BasicToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['ERC223BasicToken.sol', 'ERC223Receiver.sol', 'ERC223Basic.sol']
3,['ERC223BasicToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
5,['ERC223BasicToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['ERC223BasicToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['ERC223BasicToken.sol', 'Token223ReceiverMock.sol', 'ERC223Basic.sol']
4,['ERC223BasicToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['ERC223BasicToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
2,['ERC223BasicToken.sol', 'BasicToken.sol', 'ERC223Basic.sol']
3,['ERC223BasicToken.sol', 'BasicToken.sol', 'ERC20.sol']
3,['ERC223BasicToken.sol', 'BasicToken.sol', 'Token223.sol']
3,['ERC223BasicToken.sol', 'ERC223Basic.sol', 'ERC20.sol']
4,['ERC223BasicToken.sol', 'ERC223Basic.sol', 'Token223.sol']
3,['ERC223BasicToken.sol', 'ERC20.sol', 'Token223.sol']
7,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
4,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223Basic.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223.sol']
