similarity,combination
3,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'DummyToken.sol']
10,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Ledger.sol']
7,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Migrations.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'TokenReceivable.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'SafeMath.sol']
6,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Finalizable.sol']
6,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'EventDefinitions.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'DummyToken.sol']
7,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Ledger.sol']
7,['ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol']
7,['ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'TokenReceivable.sol']
8,['ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'SafeMath.sol']
7,['ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Finalizable.sol']
8,['ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'EventDefinitions.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'DummyToken.sol']
22,['ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Ledger.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol', 'TokenReceivable.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol', 'SafeMath.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol', 'Finalizable.sol']
3,['ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol', 'EventDefinitions.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol', 'DummyToken.sol']
10,['ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol', 'Ledger.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'TokenReceivable.sol', 'SafeMath.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'TokenReceivable.sol', 'Finalizable.sol']
6,['ControllerEventDefinitions.sol', 'Controller.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
3,['ControllerEventDefinitions.sol', 'Controller.sol', 'TokenReceivable.sol', 'DummyToken.sol']
10,['ControllerEventDefinitions.sol', 'Controller.sol', 'TokenReceivable.sol', 'Ledger.sol']
6,['ControllerEventDefinitions.sol', 'Controller.sol', 'SafeMath.sol', 'Finalizable.sol']
3,['ControllerEventDefinitions.sol', 'Controller.sol', 'SafeMath.sol', 'EventDefinitions.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'SafeMath.sol', 'DummyToken.sol']
10,['ControllerEventDefinitions.sol', 'Controller.sol', 'SafeMath.sol', 'Ledger.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'Finalizable.sol', 'EventDefinitions.sol']
3,['ControllerEventDefinitions.sol', 'Controller.sol', 'Finalizable.sol', 'DummyToken.sol']
11,['ControllerEventDefinitions.sol', 'Controller.sol', 'Finalizable.sol', 'Ledger.sol']
2,['ControllerEventDefinitions.sol', 'Controller.sol', 'EventDefinitions.sol', 'DummyToken.sol']
10,['ControllerEventDefinitions.sol', 'Controller.sol', 'EventDefinitions.sol', 'Ledger.sol']
8,['ControllerEventDefinitions.sol', 'Controller.sol', 'DummyToken.sol', 'Ledger.sol']
3,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'TokenReceivable.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'SafeMath.sol']
