similarity,combination
1,['IToken.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
0,['IToken.sol', 'TokenReceivable.sol', 'TokenMock.sol']
3,['IToken.sol', 'TokenReceivable.sol', 'Savings.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'DummyToken.sol']
1,['IToken.sol', 'TokenReceivable.sol', 'Sale.sol']
5,['IToken.sol', 'TokenReceivable.sol', 'Ledger.sol']
1,['IToken.sol', 'ControllerMock.sol', 'SafeMath.sol']
1,['IToken.sol', 'ControllerMock.sol', 'DummyMock.sol']
1,['IToken.sol', 'ControllerMock.sol', 'LedgerMock.sol']
1,['IToken.sol', 'ControllerMock.sol', 'Finalizable.sol']
1,['IToken.sol', 'ControllerMock.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'ControllerMock.sol', 'TokenMock.sol']
2,['IToken.sol', 'ControllerMock.sol', 'Savings.sol']
0,['IToken.sol', 'ControllerMock.sol', 'DummyToken.sol']
1,['IToken.sol', 'ControllerMock.sol', 'Sale.sol']
5,['IToken.sol', 'ControllerMock.sol', 'Ledger.sol']
2,['IToken.sol', 'SafeMath.sol', 'DummyMock.sol']
1,['IToken.sol', 'SafeMath.sol', 'LedgerMock.sol']
1,['IToken.sol', 'SafeMath.sol', 'Finalizable.sol']
1,['IToken.sol', 'SafeMath.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'SafeMath.sol', 'TokenMock.sol']
3,['IToken.sol', 'SafeMath.sol', 'Savings.sol']
1,['IToken.sol', 'SafeMath.sol', 'DummyToken.sol']
1,['IToken.sol', 'SafeMath.sol', 'Sale.sol']
5,['IToken.sol', 'SafeMath.sol', 'Ledger.sol']
1,['IToken.sol', 'DummyMock.sol', 'LedgerMock.sol']
1,['IToken.sol', 'DummyMock.sol', 'Finalizable.sol']
1,['IToken.sol', 'DummyMock.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'DummyMock.sol', 'TokenMock.sol']
3,['IToken.sol', 'DummyMock.sol', 'Savings.sol']
1,['IToken.sol', 'DummyMock.sol', 'DummyToken.sol']
