similarity,combination
3,['ERC677.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
4,['ERC677.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
6,['ERC677.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
4,['ERC677.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
8,['ERC677.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
4,['ERC677.sol', 'BasicTokenMock.sol', 'Token677.sol']
6,['ERC677.sol', 'BasicTokenMock.sol', 'ERC20.sol']
7,['ERC677.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
3,['ERC677.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
4,['ERC677.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
6,['ERC677.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
3,['ERC677.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
7,['ERC677.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
4,['ERC677.sol', 'StandardTokenMock.sol', 'Token677.sol']
6,['ERC677.sol', 'StandardTokenMock.sol', 'ERC20.sol']
9,['ERC677.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
8,['ERC677.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
11,['ERC677.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['ERC677.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
8,['ERC677.sol', 'StandardToken.sol', 'BasicToken.sol']
10,['ERC677.sol', 'StandardToken.sol', 'Token677.sol']
10,['ERC677.sol', 'StandardToken.sol', 'ERC20.sol']
5,['ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
6,['ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
3,['ERC677.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
7,['ERC677.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
6,['ERC677.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
8,['ERC677.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
8,['ERC677.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
3,['ERC677.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
8,['ERC677.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
4,['ERC677.sol', 'ERC677Receiver.sol', 'Token677.sol']
7,['ERC677.sol', 'ERC677Receiver.sol', 'ERC20.sol']
6,['ERC677.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
7,['ERC677.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['ERC677.sol', 'LinkToken.sol', 'Token677.sol']
8,['ERC677.sol', 'LinkToken.sol', 'ERC20.sol']
7,['ERC677.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
4,['ERC677.sol', 'NotERC677Compatible.sol', 'Token677.sol']
7,['ERC677.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
8,['ERC677.sol', 'BasicToken.sol', 'Token677.sol']
9,['ERC677.sol', 'BasicToken.sol', 'ERC20.sol']
9,['ERC677.sol', 'Token677.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
15,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
9,['ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
9,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
9,['ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
9,['ERC20Basic.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
10,['ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677.sol']
5,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
13,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
9,['ERC20Basic.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
9,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
10,['ERC20Basic.sol', 'StandardTokenMock.sol', 'Token677.sol']
5,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
10,['ERC20Basic.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
11,['ERC20Basic.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
14,['ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
13,['ERC20Basic.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
22,['ERC20Basic.sol', 'StandardToken.sol', 'Token677.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
7,['ERC20Basic.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
8,['ERC20Basic.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
10,['ERC20Basic.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
9,['ERC20Basic.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
8,['ERC20Basic.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
7,['ERC20Basic.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'ERC677Receiver.sol', 'Token677.sol']
8,['ERC20Basic.sol', 'ERC677Receiver.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
12,['ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'LinkToken.sol', 'Token677.sol']
9,['ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
6,['ERC20Basic.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['ERC20Basic.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
5,['ERC20Basic.sol', 'BasicToken.sol', 'Token677.sol']
3,['ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
4,['ERC20Basic.sol', 'Token677.sol', 'ERC20.sol']
7,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
3,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
4,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
8,['BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
5,['BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
11,['BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
8,['BasicTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
11,['BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
12,['BasicTokenMock.sol', 'StandardToken.sol', 'Token677.sol']
12,['BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
2,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
3,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
3,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
5,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
4,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
6,['BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
6,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
2,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
7,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
2,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
