similarity,combination
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223.sol']
17,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token223.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'LinkToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC223Receiver.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'ERC20.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol', 'Token223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC20.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
