similarity,combination
7,['LinkERC20.sol', 'linkERC20.sol', 'Migrations.sol']
8,['LinkERC20.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
5,['LinkERC20.sol', 'linkERC20.sol', 'linkBasicToken.sol']
5,['LinkERC20.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
6,['LinkERC20.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
6,['LinkERC20.sol', 'linkERC20.sol', 'LinkToken.sol']
5,['LinkERC20.sol', 'linkERC20.sol', 'linkStandardToken.sol']
6,['LinkERC20.sol', 'linkERC20.sol', 'NotERC677Compatible.sol']
6,['LinkERC20.sol', 'linkERC20.sol', 'Token677.sol']
3,['LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
3,['LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
1,['LinkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol']
3,['LinkERC20.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
1,['LinkERC20.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
3,['LinkERC20.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
4,['LinkERC20.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
2,['LinkERC20.sol', 'linkSafeMath.sol', 'LinkToken.sol']
1,['LinkERC20.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
2,['LinkERC20.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
2,['LinkERC20.sol', 'linkSafeMath.sol', 'Token677.sol']
3,['LinkERC20.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
3,['LinkERC20.sol', 'BasicTokenMock.sol', 'Migrations.sol']
5,['LinkERC20.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
5,['LinkERC20.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
5,['LinkERC20.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
6,['LinkERC20.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
5,['LinkERC20.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
4,['LinkERC20.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
3,['LinkERC20.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
4,['LinkERC20.sol', 'BasicTokenMock.sol', 'Token677.sol']
2,['LinkERC20.sol', 'StandardTokenMock.sol', 'Migrations.sol']
3,['LinkERC20.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
3,['LinkERC20.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
4,['LinkERC20.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
5,['LinkERC20.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
3,['LinkERC20.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
5,['LinkERC20.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
3,['LinkERC20.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
3,['LinkERC20.sol', 'StandardTokenMock.sol', 'Token677.sol']
2,['LinkERC20.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
4,['LinkERC20.sol', 'Migrations.sol', 'linkBasicToken.sol']
5,['LinkERC20.sol', 'Migrations.sol', 'ERC677Receiver.sol']
6,['LinkERC20.sol', 'Migrations.sol', 'linkERC20Basic.sol']
4,['LinkERC20.sol', 'Migrations.sol', 'LinkToken.sol']
3,['LinkERC20.sol', 'Migrations.sol', 'linkStandardToken.sol']
3,['LinkERC20.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
3,['LinkERC20.sol', 'Migrations.sol', 'Token677.sol']
5,['LinkERC20.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
4,['LinkERC20.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
8,['LinkERC20.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
5,['LinkERC20.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
6,['LinkERC20.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
4,['LinkERC20.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
5,['LinkERC20.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
6,['LinkERC20.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
4,['LinkERC20.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
5,['LinkERC20.sol', 'linkBasicToken.sol', 'LinkToken.sol']
5,['LinkERC20.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
3,['LinkERC20.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
6,['LinkERC20.sol', 'linkBasicToken.sol', 'Token677.sol']
5,['LinkERC20.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
4,['LinkERC20.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
4,['LinkERC20.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
4,['LinkERC20.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['LinkERC20.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['LinkERC20.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
5,['LinkERC20.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
6,['LinkERC20.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
7,['LinkERC20.sol', 'linkERC20Basic.sol', 'Token677.sol']
6,['LinkERC20.sol', 'LinkToken.sol', 'linkStandardToken.sol']
4,['LinkERC20.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
5,['LinkERC20.sol', 'LinkToken.sol', 'Token677.sol']
4,['LinkERC20.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
5,['LinkERC20.sol', 'linkStandardToken.sol', 'Token677.sol']
4,['LinkERC20.sol', 'NotERC677Compatible.sol', 'Token677.sol']
3,['ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol']
6,['ERC677.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
4,['ERC677.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
5,['ERC677.sol', 'linkERC20.sol', 'Migrations.sol']
6,['ERC677.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
7,['ERC677.sol', 'linkERC20.sol', 'linkBasicToken.sol']
5,['ERC677.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
11,['ERC677.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
7,['ERC677.sol', 'linkERC20.sol', 'LinkToken.sol']
5,['ERC677.sol', 'linkERC20.sol', 'linkStandardToken.sol']
5,['ERC677.sol', 'linkERC20.sol', 'NotERC677Compatible.sol']
5,['ERC677.sol', 'linkERC20.sol', 'Token677.sol']
1,['ERC677.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
2,['ERC677.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
2,['ERC677.sol', 'linkSafeMath.sol', 'Migrations.sol']
2,['ERC677.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
3,['ERC677.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
2,['ERC677.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
5,['ERC677.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
3,['ERC677.sol', 'linkSafeMath.sol', 'LinkToken.sol']
4,['ERC677.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
2,['ERC677.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
3,['ERC677.sol', 'linkSafeMath.sol', 'Token677.sol']
2,['ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
2,['ERC677.sol', 'BasicTokenMock.sol', 'Migrations.sol']
3,['ERC677.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
4,['ERC677.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
3,['ERC677.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
5,['ERC677.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
4,['ERC677.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
7,['ERC677.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
2,['ERC677.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
3,['ERC677.sol', 'BasicTokenMock.sol', 'Token677.sol']
2,['ERC677.sol', 'StandardTokenMock.sol', 'Migrations.sol']
3,['ERC677.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
4,['ERC677.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
4,['ERC677.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
5,['ERC677.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
