similarity,combination
7,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Token677.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Migrations.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'ERC677Receiver.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkERC20Basic.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkStandardToken.sol']
