similarity,combination
6,['Ownable.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['Ownable.sol', 'LinkToken.sol', 'TokenSale.sol']
6,['Ownable.sol', 'LinkToken.sol', 'ERC20.sol']
1,['Ownable.sol', 'LinkToken.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['Ownable.sol', 'ERC223Receiver.sol', 'TokenSale.sol']
6,['Ownable.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['Ownable.sol', 'ERC223Receiver.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'BasicToken.sol', 'TokenSale.sol']
4,['Ownable.sol', 'BasicToken.sol', 'ERC20.sol']
5,['Ownable.sol', 'BasicToken.sol', 'Standard223TokenReceiverMock.sol']
8,['Ownable.sol', 'TokenSale.sol', 'ERC20.sol']
2,['Ownable.sol', 'TokenSale.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
2,['SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Token.sol']
2,['SafeMath.sol', 'Standard223TokenExample.sol', 'LinkReceiver.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverTest.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223Receiver.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'SmartOracle.sol']
3,['SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223.sol']
2,['SafeMath.sol', 'Standard223TokenExample.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223TokenExample.sol', 'TokenSale.sol']
0,['SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol']
0,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'LinkReceiver.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223TokenReceiverTest.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Receiver.sol']
2,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'SmartOracle.sol']
4,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC223.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC223Receiver.sol']
0,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'TokenSale.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223TokenReceiverMock.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'SmartOracle.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol']
