similarity,combination
6,['flop.sol', 'join.sol', 'move.sol', 'heal.sol', 'heal.t.sol']
2,['flop.sol', 'join.sol', 'move.sol', 'heal.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'heal.sol', 'drip.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'heal.sol', 'frob.t.sol']
2,['flop.sol', 'join.sol', 'move.sol', 'heal.sol', 'tune.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'heal.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'move.sol', 'drip.t.sol', 'heal.t.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'drip.t.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'move.sol', 'drip.t.sol', 'drip.sol']
2,['flop.sol', 'join.sol', 'move.sol', 'drip.t.sol', 'frob.t.sol']
