similarity,combination
8,['SmartOracle.sol', 'ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
3,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
6,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
6,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
10,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
3,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
7,['SmartOracle.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
1,['SmartOracle.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['SmartOracle.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
5,['SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
6,['SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
5,['SmartOracle.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
7,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
10,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
3,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
4,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
7,['SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
