similarity,combination
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol', 'ERC20.sol', 'Token223.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC223Receiver.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC20.sol']
11,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol', 'Token223.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
12,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'NotERC223Compatible.sol', 'Token223.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
15,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token223.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
